Title_english,Title_japanese,Anime_episodes,Anime_source,Ratings,Season,Type,Studio,score,scored_by,ranked,popularity,members,links,genre
-,闇芝居 8期,13,Original,PG-13 - Teens 13 or older,Winter 2021,TV,"ILCA,             DRAWIZ",5.63,2842 ,Ranked #9745,Popularity #5361,9246,https://myanimelist.net/anime/44208/Yami_Shibai_8,Horror
Ghost Talker's Daydream,低俗霊DAYDREAM,4,Manga,R+ - Mild Nudity,-,OVA,Hal Film Maker,6.18,3604 ,Ranked #7637,Popularity #5373,8963,https://myanimelist.net/anime/1500/Teizokurei_Daydream,Horror
-,姉なるもの,Unknown,Manga,None,-,OVA,-,N/A,- user,Ranked N/A,Popularity #5383,9058,https://myanimelist.net/anime/41005/Ane_Naru_Mono,Horror
-,テラフォーマーズ アース編,2,Manga,R - 17+ (violence & profanity),-,OVA,LIDENFILMS,6.32,1190 ,Ranked #6944,Popularity #5420,8829,https://myanimelist.net/anime/34532/Terra_Formars__Earth-hen,Horror
Violence Jack: Evil Town,バイオレンス ジャック 〜地獄街編〜,1,Manga,R+ - Mild Nudity,-,OVA,Studio 88,5.55,4352 ,Ranked #9987,Popularity #5456,8671,https://myanimelist.net/anime/1342/Violence_Jack__Jigoku_Gai-hen,Horror
New Getter Robo,新ゲッターロボ,13,Original,R - 17+ (violence & profanity),-,OVA,Brain's Base,7.36,3334 ,Ranked #2094,Popularity #5486,8548,https://myanimelist.net/anime/2978/Shin_Getter_Robo,Horror
Demon Lord Dante,魔王ダンテ,13,Manga,R - 17+ (violence & profanity),Summer 2002,TV,Magic Bus,6.04,2927 ,Ranked #8342,Popularity #5518,8426,https://myanimelist.net/anime/1628/Maou_Dante,Horror
-,ダークサイド・ブルース,1,Manga,R - 17+ (violence & profanity),-,Movie,J.C.Staff,6.07,3659 ,Ranked #8169,Popularity #5522,8413,https://myanimelist.net/anime/1494/Darkside_Blues,Horror
Call Me Tonight,コール・ミー・トゥナイト,1,Original,R+ - Mild Nudity,-,OVA,AIC,5.27,4314 ,Ranked #10655,Popularity #5583,8175,https://myanimelist.net/anime/2147/Call_Me_Tonight,Horror
Doomed Megalopolis,帝都物語,4,Novel,R+ - Mild Nudity,-,OVA,Madhouse,5.96,2250 ,Ranked #8635,Popularity #5670,7894,https://myanimelist.net/anime/1148/Teito_Monogatari,Horror
